,Date,Team,Elo
16884,2017-03-31,MEM,1536.711283915762
16911,2017-04-02,MEM,1542.2454230183987
16945,2017-04-04,MEM,1527.9798348394986
16958,2017-04-05,MEM,1525.230215838836
16984,2017-04-07,MEM,1514.4273836103166
17016,2017-04-09,MEM,1518.3595533379275
17058,2017-04-12,MEM,1503.6708044750544
17088,2017-10-18,MEM,1489.2122465149528
17132,2017-10-21,MEM,1495.4582619343273
17157,2017-10-23,MEM,1510.5236325559588
17189,2017-10-25,MEM,1526.1542427981651
17198,2017-10-26,MEM,1515.9779892680576
17222,2017-10-28,MEM,1521.088377278237
17280,2017-11-01,MEM,1531.0932791465646
17319,2017-11-04,MEM,1515.9959196678428
17345,2017-11-05,MEM,1531.033089289223
17367,2017-11-07,MEM,1519.0944045056817
17409,2017-11-11,MEM,1532.6784048640582
17439,2017-11-13,MEM,1527.6146960642654
17464,2017-11-15,MEM,1520.0259771137532
17508,2017-11-18,MEM,1506.674508892111
17534,2017-11-20,MEM,1497.2461845281196
17560,2017-11-22,MEM,1485.18576783911
17587,2017-11-24,MEM,1469.902225844375
17614,2017-11-26,MEM,1464.5128826028294
17657,2017-11-29,MEM,1448.6260723946593
17678,2017-12-01,MEM,1445.705250661122
17691,2017-12-02,MEM,1438.8379301583311
17720,2017-12-04,MEM,1434.766929611529
17745,2017-12-06,MEM,1443.4165522524513
17768,2017-12-08,MEM,1434.9548841377605
17788,2017-12-09,MEM,1427.9121937716486
17810,2017-12-11,MEM,1418.2720363362666
17835,2017-12-13,MEM,1408.8266350960969
17868,2017-12-15,MEM,1404.8609205496994
17888,2017-12-16,MEM,1411.773735235237
17941,2017-12-20,MEM,1405.5240480989974
17951,2017-12-21,MEM,1404.3795829319722
17980,2017-12-23,MEM,1395.5182021744436
18017,2017-12-26,MEM,1406.5236539633331
18037,2017-12-27,MEM,1397.6027163008966
18075,2017-12-30,MEM,1409.2049758374812
18089,2017-12-31,MEM,1407.9723661303456
18107,2018-01-02,MEM,1420.8145715583948
18150,2018-01-05,MEM,1416.2402264894256
18214,2018-01-10,MEM,1407.715093699443
18245,2018-01-12,MEM,1417.4755179222034
18278,2018-01-15,MEM,1412.6311519938617
18304,2018-01-17,MEM,1418.7856636584997
18328,2018-01-19,MEM,1425.8973007443265
18341,2018-01-20,MEM,1431.633517615239
18364,2018-01-22,MEM,1426.447563834087
18396,2018-01-24,MEM,1434.9962568794451
18416,2018-01-26,MEM,1427.1136403588655
18456,2018-01-29,MEM,1417.3487940122832
18483,2018-01-31,MEM,1422.8693207395895
18497,2018-02-01,MEM,1418.0444015166595
18547,2018-02-04,MEM,1411.6218120319436
18565,2018-02-06,MEM,1408.8442991063675
18584,2018-02-07,MEM,1401.8798229198214
18639,2018-02-11,MEM,1393.7826071365373
18680,2018-02-14,MEM,1390.1615638849382
18710,2018-02-23,MEM,1381.7753913597357
18725,2018-02-24,MEM,1373.92447074877
18749,2018-02-26,MEM,1369.5157180403628
18782,2018-02-28,MEM,1366.9203756613572
18806,2018-03-02,MEM,1352.6574024619185
18819,2018-03-03,MEM,1345.0618329825122
18853,2018-03-05,MEM,1338.1205874967895
18875,2018-03-07,MEM,1335.2265642195196
18900,2018-03-09,MEM,1329.4892294537694
18917,2018-03-10,MEM,1324.1528215044027
18942,2018-03-12,MEM,1318.2849666658296
18982,2018-03-15,MEM,1310.9098844297703
19014,2018-03-17,MEM,1300.5282134687404
19037,2018-03-19,MEM,1314.279528331338
19063,2018-03-21,MEM,1307.200529846883
19112,2018-03-24,MEM,1304.3361285902442
19137,2018-03-26,MEM,1296.0663544652007
